rest_area_name,rest_area_number,responsible_authority,,,category,,vehicle_type
Camurra Truck Inspection Bay N,1172,RMS,,,INSPECTION BAY,,HEAVY VEHICLES ONLY
Sth of Federal Hwy Intersection S/B,7,RMS,,,PARKING AREA,,BOTH LIGHT AND HEAVY VEHICLES
Truck Parking Cutting RHS,3010,RMS,,,PARKING AREA,,HEAVY VEHICLES ONLY
Marsden Rest Area-South Bound,781,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Information Bay south of Eden,3171,COUNCIL,,,REST AREA,,LIGHT VEHICLES ONLY
,454,OTHER,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
McHatten Park,1961,COUNCIL,,,REST AREA,,LIGHT VEHICLES ONLY
Thackaringa Hills RA,1439,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Kioala Rest Area S/B,351,STATE FORESTS,,,REST AREA,,LIGHT VEHICLES ONLY
Parking area Otford Lookout,3260,RMS,,,INFORMAL PARKING AREA,,LIGHT VEHICLES ONLY
,1774,RMS,,,PARKING AREA,,BOTH LIGHT AND HEAVY VEHICLES
Narromime Dundas Park,1045,OTHER,,,REST AREA,,LIGHT VEHICLES ONLY
,1581,RMS,,,REST AREA,,LIGHT VEHICLES ONLY
Kempsey South Service Centre,4005,OTHER,,,HIGHWAY SERVICE CENTRE,,BOTH LIGHT AND HEAVY VEHICLES
Rest Area Broulee Rd N/B,3149,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
,1022,RMS,,,PARKING AREA,,BOTH LIGHT AND HEAVY VEHICLES
Sandilands,613,RMS,,,REST AREA,,LIGHT VEHICLES ONLY
,772,RMS,,,PARKING AREA,,LIGHT VEHICLES ONLY
Goonoo Goonoo,1608,RMS,,,REST AREA,,HEAVY VEHICLES ONLY
North Roundabout - Armidale,882,RMS,,,INSPECTION BAY,,HEAVY VEHICLES ONLY
Four Mile Creek Rest Area,3024,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Lillis Lane - Barraba Show Ground,1829,COUNCIL,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
,1543,RMS,,,PARKING AREA,,LIGHT VEHICLES ONLY
,1535,RMS,,,PARKING AREA,,HEAVY VEHICLES ONLY
Eric Thomas Park,3035,COUNCIL,,,REST AREA,,LIGHT VEHICLES ONLY
North of Peak Hill,1760,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Thredbo Diggings,392,NATIONAL PARKS AND WILDLIFE SERVICE,,,PARKING AREA,,LIGHT VEHICLES ONLY
Bewong Rest Area N/B,348,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Manildra Lions Park,1558,OTHER,,,REST AREA,,LIGHT VEHICLES ONLY
Gunbar,1259,RMS,,,PARKING AREA,,HEAVY VEHICLES ONLY
Tumblong,118,RMS,,,REST AREA,,LIGHT VEHICLES ONLY
Comfort Hill N/B,23,RMS,,,PARKING AREA,,HEAVY VEHICLES ONLY
Warri Rest Area Shoalhaven River W/B,375,OTHER,,,REST AREA,,LIGHT VEHICLES ONLY
Gil Gil Creek Rest Area S/B,1167,RMS,,,REST AREA,,HEAVY VEHICLES ONLY
Nyngan - Truck Parking Area,1751,COUNCIL,,,PARKING AREA,,HEAVY VEHICLES ONLY
Truck Area Sth of Sallys Cnr N/B,21,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Bunnerungee Rest Area,3019,RMS,,,REST AREA,,LIGHT VEHICLES ONLY
,758,RMS,,,PARKING AREA,,BOTH LIGHT AND HEAVY VEHICLES
Gamboola Rest Area,1028,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Table and Chairs N/B,349,RMS,,,REST AREA,,LIGHT VEHICLES ONLY
Pheasants Nest Mobil Service Centre S/B,82,OTHER,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
100m South of Arumpo Rd.,268,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Half Way Tree,1547,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Bellbird Hill Reserve,1379,COUNCIL,,,PARKING AREA,,BOTH LIGHT AND HEAVY VEHICLES
Stockyard Creek,636,RMS,,,REST AREA,,LIGHT VEHICLES ONLY
,1626,RMS,,,PARKING AREA,,BOTH LIGHT AND HEAVY VEHICLES
,1289,RMS,,,PARKING AREA,,HEAVY VEHICLES ONLY
Manildra Honan Reserve,1557,OTHER,,,REST AREA,,LIGHT VEHICLES ONLY
Soil Conservation,1788,RMS,,,REST AREA,,LIGHT VEHICLES ONLY
Bulga Creek Rest Area,892,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Marthaguy Rest Area,899,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Greenwood Grange,1789,RMS,,,PARKING AREA,,BOTH LIGHT AND HEAVY VEHICLES
Sturts Marked Tree,1256,RMS,,,PARKING AREA,,HEAVY VEHICLES ONLY
Blue Vale Road,658,RMS,,,PARKING AREA,,HEAVY VEHICLES ONLY
Cullarin Truck Area N/B,13,RMS,,,REST AREA,,HEAVY VEHICLES ONLY
,1576,RMS,,,PARKING AREA,,LIGHT VEHICLES ONLY
Pond,941,COUNCIL,,,REST AREA,,LIGHT VEHICLES ONLY
Waldron Swamp Rest Area S/B,353,RMS,,,REST AREA,,LIGHT VEHICLES ONLY
Bombala Rest Area S/B,3195,COUNCIL,,,REST AREA,,LIGHT VEHICLES ONLY
Hillston Rest Area,1254,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
,1113,RMS,,,PARKING AREA,,HEAVY VEHICLES ONLY
No Name,646,RMS,,,PARKING AREA,,HEAVY VEHICLES ONLY
Emergency Phone Site,1328,RMS,,,PARKING AREA,,BOTH LIGHT AND HEAVY VEHICLES
,41,RMS,,,PARKING AREA,,HEAVY VEHICLES ONLY
Fairbridge Memorial Rest Area,1031,COUNCIL,,,REST AREA,,LIGHT VEHICLES ONLY
Beardy Waters Woodlands,600,COUNCIL,,,REST AREA,,LIGHT VEHICLES ONLY
,1338,RMS,,,PARKING AREA,,BOTH LIGHT AND HEAVY VEHICLES
Wirriwin Rest Area Nth Kiama Bypass N/B,1701,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Lions Coronation Park - Casino,1801,COUNCIL,,,REST AREA,,LIGHT VEHICLES ONLY
Drake - Underwood Park,1798,COUNCIL,,,REST AREA,,LIGHT VEHICLES ONLY
Hume Weir Park,3069,COUNCIL,,,REST AREA,,LIGHT VEHICLES ONLY
Mungadal - Eastbound,239,RMS,,,INSPECTION BAY,,HEAVY VEHICLES ONLY
Flinders St  Rest Area Sth Nowra N/B,346,COUNCIL,,,REST AREA,,LIGHT VEHICLES ONLY
Truck park opp Bombala Historic Engine,3197,RMS,,,PARKING AREA,,HEAVY VEHICLES ONLY
Oakey Creek,980,RMS,,,REST AREA,,LIGHT VEHICLES ONLY
Tuena Picnic Area,721,COUNCIL,,,REST AREA,,LIGHT VEHICLES ONLY
Yanga Creek Rest Area,257,RMS,,,REST AREA,,LIGHT VEHICLES ONLY
Middleton VC Rest Area,328,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Dandahra Picnic Area,1905,NATIONAL PARKS AND WILDLIFE SERVICE,,,REST AREA,,LIGHT VEHICLES ONLY
Pejar Dam Rest Area N/B,377,COUNCIL,,,REST AREA,,LIGHT VEHICLES ONLY
Heavy vehicle Inspection Bay SE of Nyngan,1057,RMS,,,INSPECTION BAY,,BOTH LIGHT AND HEAVY VEHICLES
Kiga Bore Rest Area N/B,1165,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Lauriston,717,RMS,,,REST AREA,,LIGHT VEHICLES ONLY
North Star Rd Rest Area,1350,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Webb Oval Park Moree,1173,COUNCIL,,,REST AREA,,LIGHT VEHICLES ONLY
Lilyvale Heavy Vehicle Rest Area (West Bound Lane),1431,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Larras Lee,1034,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Armidale City McDonald Park,1865,COUNCIL,,,REST AREA,,LIGHT VEHICLES ONLY
North of Forbes,765,RMS,,,PARKING AREA,,BOTH LIGHT AND HEAVY VEHICLES
Coraki-Casino Road Junction,1901,COUNCIL,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Bairds Truck Stop,1551,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Tycannah Rest Area N/B,1175,RMS,,,REST AREA,,LIGHT VEHICLES ONLY
,1544,RMS,,,PARKING AREA,,BOTH LIGHT AND HEAVY VEHICLES
Yellow Pinch Dam Rest Area N/B,360,STATE FORESTS,,,REST AREA,,LIGHT VEHICLES ONLY
Kedumba Park,946,COUNCIL,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Mooroowoolin,2,RMS,,,PARKING AREA,,BOTH LIGHT AND HEAVY VEHICLES
,1586,RMS,,,PARKING AREA,,HEAVY VEHICLES ONLY
Truck Area Lerida Nth S/B,9,RMS,,,PARKING AREA,,HEAVY VEHICLES ONLY
Gil Gil Creek Rest Area N/B,1168,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
David Gillon Park,1767,RMS,,,PARKING AREA,,LIGHT VEHICLES ONLY
,1360,RMS,,,PARKING AREA,,LIGHT VEHICLES ONLY
150 Deg Meridian,1610,RMS,,,REST AREA,,LIGHT VEHICLES ONLY
,1105,RMS,,,PARKING AREA,,HEAVY VEHICLES ONLY
Back Creek - North Bound,784,RMS,,,PARKING AREA,,BOTH LIGHT AND HEAVY VEHICLES
,443,OTHER,,,REST AREA,,LIGHT VEHICLES ONLY
Broken Hill Information Bay,250,RMS,,,PARKING AREA,,LIGHT VEHICLES ONLY
Florida Rest Area,1121,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Mulberygong Rest Area,234,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Truck Driver Memorial - Tamworth,1931,COUNCIL,,,REST AREA,,HEAVY VEHICLES ONLY
BP Service Centre Marulan N/B,19,OTHER,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Partridge VC Rest Area S/B,80,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
MR95 Picton Road near old airstrip,1697,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Dingo Fence,977,RMS,,,REST AREA,,LIGHT VEHICLES ONLY
,1108,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Beemery,651,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
,1111,OTHER,,,REST AREA,,LIGHT VEHICLES ONLY
Two Mile Creek,1035,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Dogtrap Gully Inspection Bay S/B,1196,RMS,,,INSPECTION BAY,,BOTH LIGHT AND HEAVY VEHICLES
Parking Area Top of Mt Ousley E/B,381,RMS,,,PARKING AREA,,BOTH LIGHT AND HEAVY VEHICLES
East of Whiterock Rd turn off,1123,RMS,,,PARKING AREA,,BOTH LIGHT AND HEAVY VEHICLES
Dubbo Tourist Information Centre,906,COUNCIL,,,REST AREA,,LIGHT VEHICLES ONLY
Crooked Creek,619,STATE FORESTS,,,REST AREA,,LIGHT VEHICLES ONLY
Goolgowi,1262,COUNCIL,,,PARKING AREA,,BOTH LIGHT AND HEAVY VEHICLES
Ferry Park - Maclean,1791,OTHER,,,REST AREA,,LIGHT VEHICLES ONLY
Coffs South Service Centre,4134,PRIVATE,,,HIGHWAY SERVICE CENTRE,,LIGHT VEHICLES ONLY
Chinderah Northbound Service Centre,4009,OTHER,,,HIGHWAY SERVICE CENTRE,,BOTH LIGHT AND HEAVY VEHICLES
Lowesdale Rest Area,1506,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Wardell Southbound,529,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
McPhillips Creek - Bom Bom,541,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Tyagarah,552,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Wardell Northbound,530,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
Mount Ousley Heavy Vehicle Rest Area,4012,RMS,,,REST AREA,,BOTH LIGHT AND HEAVY VEHICLES
