RestAreaNumber,RestAreaName,CategoryID,SuburbID,Description,DistanceFrom,RoadNumber,RoadName,Latitude,Longitude,Accessible,BabyChangeFacilities,Bbq,BoatRamp,CaravanDisposal,DriverReviver,EmergencyPhones,FoodAvailable,FuelAvailable,LitterBins,Lighting,Lookout,PetsAllowed,PicnicTable,Playground,PowerOutlets,PowerSupply,Shade,Shelter,SideOfRoad,SiteStatus,SportsGround,Toilets,TouristInformation,TreeShading,VehicleType,WaterSupplyType,ResponsibleAuthority
1193,Gowan North Rest Area,2,291,,8.5km North of Coonabarabran,17,NEWELL HIGHWAY,-31.21829,149.3262,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,LEFT,,FALSE,1,FALSE,TRUE,BOTH LIGHT AND HEAVY VEHICLES,RAINWATER TANK,RMS
1194,Gowan Rest Area N/B,2,291,,6.7km North of Coonabarabran,17,NEWELL HIGHWAY,-31.23299,149.31806,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,LEFT,,FALSE,1,FALSE,FALSE,BOTH LIGHT AND HEAVY VEHICLES,NONE,RMS
1195,Gowan Rest Area S/B,2,291,,6.5km North of Coonabarabran,17,NEWELL HIGHWAY,-31.23462,149.31734,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,RIGHT,,FALSE,1,FALSE,FALSE,BOTH LIGHT AND HEAVY VEHICLES,NONE,RMS
1196,Dogtrap Gully Inspection Bay S/B,5,291,,4.7km North of Coonabarabran,17,NEWELL HIGHWAY,-31.2479,149.30903,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,LEFT,,FALSE,0,FALSE,FALSE,BOTH LIGHT AND HEAVY VEHICLES,NONE,RMS
1197,Dogtrap Gully Inspection Bay N/B,5,291,,4.7km North of Coonabarabran,17,NEWELL HIGHWAY,-31.24761,149.30897,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,LEFT,,FALSE,0,FALSE,FALSE,BOTH LIGHT AND HEAVY VEHICLES,NONE,RMS
1205,The Keyhole,3,130,,12km from Echuca (VIC) and  65km to Deniliquin,21,COBB HIGHWAY,-36.03557,144.77849,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,RIGHT,,FALSE,0,FALSE,FALSE,LIGHT VEHICLES ONLY,NONE,RMS
1206,Nine Mile,3,130,,20km from Echuca (VIC) and  56km to Deniliquin,21,COBB HIGHWAY,-35.98429,144.8456,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,RIGHT,,FALSE,0,FALSE,FALSE,BOTH LIGHT AND HEAVY VEHICLES,NONE,RMS
1207,Eleven Mile,3,130,,22km from Echuca (VIC) and  55km to Deniliquin,21,COBB HIGHWAY,-35.97319,144.85648,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,LEFT,,FALSE,0,FALSE,FALSE,BOTH LIGHT AND HEAVY VEHICLES,NONE,RMS
1212,Windy CNR Birganbigal,3,105,,42km from Finley and 17km to Deniliquin,20,RIVERINA HIGHWAY,-35.57117,145.12656,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,RIGHT,,FALSE,0,FALSE,FALSE,BOTH LIGHT AND HEAVY VEHICLES,NONE,RMS
1217,Bendick Murrell Rest Area,2,122,,26km from Young and  45km to Cowra,78,OLYMPIC HIGHWAY,-34.16737,148.45963,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,RIGHT,,FALSE,2,FALSE,TRUE,BOTH LIGHT AND HEAVY VEHICLES,TOWN SUPPLY,RMS
